Iteration: 0, Fitness: 0.5
Iteration: 1, Fitness: 0.375
Iteration: 2, Fitness: 0.375
Iteration: 3, Fitness: 0.375
Iteration: 4, Fitness: 0.25
Iteration: 5, Fitness: 0.25
Iteration: 6, Fitness: 0.25
Iteration: 7, Fitness: 0.25
Iteration: 8, Fitness: 0.25
Iteration: 9, Fitness: 0.25
Iteration: 10, Fitness: 0.25
Iteration: 11, Fitness: 0.25
Iteration: 12, Fitness: 0.25
Iteration: 13, Fitness: 0.25
Iteration: 14, Fitness: 0.25
Iteration: 15, Fitness: 0.125
Iteration: 16, Fitness: 0.125
Iteration: 17, Fitness: 0.125
Iteration: 18, Fitness: 0.125
Iteration: 19, Fitness: 0.125
Iteration: 20, Fitness: 0.125
Iteration: 21, Fitness: 0.125
Iteration: 22, Fitness: 0.125
Iteration: 23, Fitness: 0.125
Iteration: 24, Fitness: 0.125
Iteration: 25, Fitness: 0.125
Iteration: 26, Fitness: 0.125
Iteration: 27, Fitness: 0.125
Iteration: 28, Fitness: 0.125
Iteration: 29, Fitness: 0.125
Iteration: 30, Fitness: 0.125
Iteration: 31, Fitness: 0.125
Iteration: 32, Fitness: 0.125
Iteration: 33, Fitness: 0.125
Iteration: 34, Fitness: 0.125
Iteration: 35, Fitness: 0.125
Iteration: 36, Fitness: 0.125
Iteration: 37, Fitness: 0.125
Iteration: 38, Fitness: 0.125
Iteration: 39, Fitness: 0.125
End at iteration: 40
Fitness Eval: 0.0
Fitness Train: 0.0
