Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,23828125; 0,23828125; 333,2931034482759; 0,13225918
2; 0,23828125; 0,21484375; 289,51724137931035; 0,114887826
3; 0,21484375; 0,21484375; 288,63793103448273; 0,1145389
4; 0,21484375; 0,171875; 288,0689655172414; 0,11431313
5; 0,171875; 0,171875; 289,0689655172414; 0,11470994
6; 0,171875; 0,15625; 287,7931034482759; 0,11420362
7; 0,15625; 0,1171875; 289,0; 0,11468259
8; 0,1171875; 0,1015625; 290,51724137931035; 0,11528467
9; 0,1015625; 0,09375; 291,82758620689657; 0,11580466
10; 0,09375; 0,0859375; 297,44827586206895; 0,11803507
11; 0,078125; 0,0859375; 293,2068965517241; 0,11635201
12; 0,0859375; 0,08203125; 295,58620689655174; 0,11729616
13; 0,08203125; 0,078125; 297,94827586206895; 0,11823346
14; 0,078125; 0,078125; 294,1034482758621; 0,11670771
15; 0,078125; 0,0625; 299,86206896551727; 0,11899287
16; 0,0625; 0,0625; 302,2413793103448; 0,11993708
17; 0,0625; 0,0625; 305,7586206896552; 0,12133283
18; 0,0625; 0,0625; 309,6034482758621; 0,12285855
19; 0,0625; 0,0625; 308,5344827586207; 0,122434326
20; 0,0625; 0,0625; 308,8448275862069; 0,12255748
21; 0,0625; 0,0625; 308,86206896551727; 0,122564316
22; 0,0625; 0,0625; 309,41379310344826; 0,12278326
23; 0,0625; 0,0625; 308,0; 0,122222245
24; 0,0625; 0,0625; 309,2241379310345; 0,12270803
25; 0,0625; 0,0625; 309,2586206896552; 0,1227217
26; 0,0625; 0,0625; 309,98275862068965; 0,12300906
27; 0,0625; 0,0625; 309,2758620689655; 0,12272853
28; 0,0625; 0,0625; 309,51724137931035; 0,12282433
29; 0,0625; 0,0625; 310,2068965517241; 0,12309799
30; 0,0625; 0,0625; 311,8965517241379; 0,12376848
31; 0,0625; 0,0625; 311,7931034482759; 0,12372742
32; 0,0625; 0,0625; 313,2241379310345; 0,124295264
33; 0,0625; 0,0625; 310,8103448275862; 0,12333744
34; 0,0625; 0,0625; 312,36206896551727; 0,12395319
35; 0,0625; 0,0625; 314,51724137931035; 0,124808386
36; 0,0625; 0,0625; 314,55172413793105; 0,12482209
37; 0,0625; 0,0625; 311,9655172413793; 0,12379584
38; 0,0625; 0,0625; 310,1034482758621; 0,12305693
39; 0,0625; 0,0625; 309,37931034482756; 0,12276961
40; 0,0625; 0,0625; 309,5689655172414; 0,12284486
41; 0,0625; 0,0625; 314,37931034482756; 0,12475371
